#{"t_start": 1780697294.9244785, "env_id": "None"}
r,l,t
0.895,11,24.184425
0.865,13,24.225469
0.99,2,24.230706
0.9875,1,24.2344
0.865,10,24.254662
0.8675,13,24.276839
-0.015,1,24.278819
-0.195,20,24.319295
0.8775,14,24.344901
0.43,53,24.437284
1.0,1,24.437284
0.805,27,24.47887
-0.0125,1,24.480909
0.895,9,24.491097
-0.1675,16,24.514572
0.9725,4,24.524432
0.97,2,24.524432
-0.13,12,24.543275
0.8775,13,24.560086
0.955,4,24.567676
0.8525,16,24.595534
0.99,1,24.599041
-0.01,1,24.601156
0.9925,1,24.602161
0.9825,1,24.603156
-0.045,6,24.61087
0.9625,3,24.618863
0.8325,14,24.650923
0.935,6,24.6614
-0.145,14,24.686952
0.9025,8,24.703009
0.88,14,24.739576
0.7825,19,24.768631
0.925,6,24.783052
0.9325,8,24.794771
0.93,8,24.807016
-0.1025,12,24.822119
0.9175,6,24.831884
-0.3675,38,24.888628
-0.0725,6,24.896297
0.9525,6,24.910074
0.9475,5,24.922054
-0.115,10,24.938045
-0.01,1,24.93904
0.9775,2,24.94103
0.6625,31,24.977139
0.9,11,24.996124
0.94,7,25.00437
-0.09,10,25.014063
0.8925,13,25.024753
0.975,3,25.024753
0.9475,6,25.036495
0.99,1,25.036495
0.9125,6,25.042027
-0.175,21,25.064353
0.0,1,25.067388
0.905,12,25.077883
-0.175,15,25.084382
-0.205,18,25.104265
0.935,8,25.11734
0.9275,6,25.122162
0.96,3,25.124725
0.86,13,25.134508
-0.2325,25,25.158265
0.93,8,25.166387
0.82,15,25.17832
0.915,10,25.184671
-0.195,17,25.204671
0.875,14,25.22059
0.8425,15,25.2358
0.96,4,25.239327
-0.11,8,25.248873
-0.0625,8,25.254381
0.8425,16,25.269678
0.9675,4,25.272202
-0.075,7,25.278901
-0.1475,18,25.292254
0.9675,3,25.297871
-0.0125,1,25.298936
-0.07,6,25.302543
0.99,1,25.302543
0.9625,2,25.304603
0.995,2,25.304603
0.795,24,25.334572
-0.1225,11,25.342405
-0.0075,2,25.345483
0.86,11,25.354698
0.925,7,25.357916
-0.0525,6,25.36668
0.9625,2,25.36668
0.9825,1,25.36668
0.9475,5,25.372199
-0.18,17,25.384644
-0.1,7,25.392305
0.9675,3,25.394324
-0.005,1,25.398826
0.995,1,25.399888
0.88,10,25.404509
-0.37,38,25.445761
0.92,8,25.452159
0.6975,29,25.47456
0.9175,9,25.484624
0.895,12,25.492176
0.5975,44,25.534345
0.8725,11,25.542212
-0.1375,16,25.55755
0.885,11,25.567659
0.8675,13,25.579504
0.9175,8,25.58454
0.9675,5,25.58969
0.7475,27,28.146708
-0.005,1,28.148715
-0.2375,25,28.17468
0.9825,2,28.178899
-0.005,1,28.178899
0.885,10,28.192295
-0.02,2,28.194675
0.845,17,28.217306
-0.0175,2,28.219311
0.995,1,28.219311
0.0,1,28.221318
0.0,1,28.221318
0.875,10,28.235478
0.9875,1,28.235478
-0.01,1,28.237524
-0.0575,7,28.243549
-0.105,10,28.254747
0.875,13,28.26693
-0.2,22,28.29669
0.8975,11,28.311267
0.97,2,28.31468
0.9525,7,28.318292
0.83,13,28.335765
0.9775,4,28.337173
-0.06,5,28.344429
-0.0125,1,28.346949
-0.1125,14,28.358222
0.815,17,28.372197
0.88,13,28.38479
-0.1225,12,28.398953
0.8525,15,28.414473
0.9825,2,28.414473
-0.075,10,28.424654
-0.105,12,28.436286
-0.12,11,28.448886
0.8225,19,28.464622
0.8525,17,28.480547
0.9425,6,28.484569
-0.0275,3,28.486671
0.915,10,28.494711
0.8125,19,28.514506
0.865,12,28.522082
-0.01,1,28.524638
0.94,7,28.532017
0.89,13,28.544373
0.945,7,28.548908
-0.145,14,28.561993
-0.1125,8,28.567907
-0.01,1,28.567907
-0.1925,21,28.587543
0.735,27,28.612042
0.81,19,28.626552
0.94,6,28.634439
0.95,7,28.642454
0.9425,6,28.64742
0.97,3,28.650584
0.875,12,28.660569
-0.0275,3,28.66473
0.975,3,28.668048
-0.0375,4,28.669365
0.99,1,28.669365
0.965,3,28.67244
0.8375,18,28.684609
0.0,1,28.684609
0.8625,13,28.7058
-0.17,18,28.731438
-0.125,15,28.7567
0.83,14,28.777249
0.9675,3,28.786552
-0.02,2,28.790574
0.8525,14,28.814758
-0.1775,16,28.837105
-0.11,11,28.85702
0.885,12,28.872418
0.0,1,28.874431
0.95,5,28.883171
