#{"t_start": 1780697055.7352798, "env_id": "None"}
r,l,t
-0.015,2,12.216954
-0.0375,4,12.216954
0.755,34,12.272129
0.86,11,12.298443
0.92,7,12.313941
-0.1375,14,12.328844
0.9325,10,12.342054
0.92,7,12.352141
-0.01,1,12.352141
0.87,16,12.399695
0.955,5,12.410866
1.0,1,12.411886
0.925,5,12.416821
-0.0125,1,12.416821
0.84,18,12.450488
-0.0175,1,12.457741
-0.04,6,12.464828
-0.0475,5,12.47252
0.8925,12,12.493262
0.83,17,12.523194
0.8675,13,12.539177
-0.26,26,12.573338
0.8725,14,12.593988
-0.015,1,12.593988
0.8225,18,12.624374
0.875,11,12.64309
-0.1175,17,12.668569
0.9275,6,12.67666
0.9475,4,12.684414
-0.095,9,12.700087
-0.005,2,12.706423
0.9025,8,12.719087
0.9775,2,12.719087
-0.03,2,12.724237
0.9675,3,12.728598
0.775,25,12.772185
0.8175,17,12.797815
0.9575,3,12.802177
-0.0625,4,12.808321
-0.0375,2,12.811855
0.965,5,12.822535
-0.135,14,12.846431
0.9425,5,12.852086
-0.0525,5,12.865672
0.7925,21,12.901931
0.97,2,12.903942
0.925,9,12.918195
-0.06,7,12.926612
0.9275,10,12.946972
-0.0975,12,12.968585
0.8075,24,13.009468
0.89,9,13.026053
0.8825,10,13.042768
0.9175,9,13.056686
0.9225,8,13.067465
0.6525,41,13.136632
0.975,2,13.141302
-0.1025,14,13.154438
0.7075,25,13.194486
0.9775,3,13.201957
-0.105,10,13.2171
-0.225,24,13.257952
-0.055,5,13.267459
-0.1225,10,13.288407
-0.0325,4,13.325635
-0.22,19,13.353973
0.9025,7,13.364385
-0.13,10,13.383379
0.8975,12,13.404121
-0.23,22,13.443401
-0.035,2,13.44491
-0.02,3,13.452956
0.855,15,13.474269
0.9275,5,13.481799
0.995,1,13.482406
0.9675,3,13.489666
0.8675,13,13.515561
-0.0075,2,13.520358
0.7275,30,13.558702
-0.0075,1,13.564288
-0.0425,5,13.568322
0.9775,2,13.572991
0.99,1,13.578025
0.8875,13,13.598144
0.9475,6,13.606392
-0.0525,6,13.615561
0.9725,2,13.615561
0.87,16,13.644686
0.93,6,13.657835
0.99,1,13.658838
0.99,1,13.659827
0.83,16,13.685565
0.8,22,13.723478
0.8975,10,13.734043
-0.04,4,13.740685
0.9475,5,13.755233
0.98,3,13.759522
-0.1225,15,13.784221
0.8775,11,13.803933
0.8125,21,13.832968
0.9575,7,13.849211
1.0,1,13.849211
0.94,6,13.856545
0.895,8,13.873388
-0.0775,8,13.879172
0.93,5,13.894217
0.9775,3,13.903222
0.9425,5,13.919497
0.8975,12,13.944373
0.7825,20,13.972719
0.8475,19,14.001044
0.715,34,14.053088
0.6675,40,14.109454
0.8225,16,14.129057
0.9675,2,14.134591
0.9425,6,14.14454
-0.1125,13,14.167989
-0.1575,15,14.190086
-0.0375,5,14.198354
0.91,9,14.2143
0.9,11,14.225491
-0.0775,8,14.260555
0.9475,8,14.28071
-0.0475,4,14.292523
0.8675,10,14.322761
-0.02,1,14.326009
0.965,2,14.333087
0.9925,1,14.336602
0.94,5,14.34591
0.9875,2,14.350209
0.9375,6,14.359513
0.8325,17,14.387935
-0.045,3,14.397178
-0.125,11,14.410465
0.995,1,14.412945
0.9525,5,14.422996
0.745,23,14.461817
0.655,40,14.526388
0.98,2,14.531793
0.99,1,14.532799
0.915,11,14.550467
0.96,5,14.557878
-0.025,2,14.559664
0.9475,8,14.577366
-0.025,3,14.58614
-0.1375,12,14.608221
0.92,8,14.617278
0.985,1,14.618277
0.975,2,14.624131
0.8725,10,14.640743
0.8125,19,14.672355
0.8725,18,14.708202
0.97,3,14.709203
0.97,3,14.718267
0.995,2,14.723888
